Club Name,Club Email,Club Room,Meeting Information - Day/Time,Zoom Link / Meeting ID,Club Advisor,,UDATED: 04/20/2026
Accounting Club,bmccaccountingclub@yahoo.com,F-308,Wednesday 2pm-4pm,N/A,Sidney Askew,,
Acentos Latinos,acentoslatinosbmcc2026@gmail.com,M-207,Wednesday 2pm-4pm,N/A,Ainoa Inigo,,
African Student Union Club,asubmcc@gmail.com,N-485,Wednesday 2pm-4pm,N/A,Jose Hernandez,,
Anime Club,bmccanimeclubfall2025@gmail.com,F-808,Wednesday 2pm-4pm,N/A,NaRhee Ahn,,
Art History Club,arthistoryclub.bmcc@outlook.com,                   F-1010,Wednesday 2pm-4pm,N/A,Sarah Madole Lewis,,
Badminton Club,bcbmcc23@gmail.com,                   F-204,Wednesday 2pm-4pm,N/A,Ching Zhao,,
Bangladesh Students Association,bmccbsa2324@gmail.com,N-489,Wednesday 2pm-4pm,N/A,Md Azhar,,
BMCC French Club ,french.club.bmcc@gmail.com,M-204,Wednesday 2pm-4pm,N/A,Adela George,,
BMCC Honors Scholar Club,hsc.bmcc@gmail.com,M-316,Wednesday 2pm-4pm,N/A,Mechelle Grayson,,
BMCC Society of Student Engineers,ssebmcc@gmail.com,F-508,Wednesday 2pm-4pm,N/A,Mahmoud K. Ardebili,,
BMCC Student Managed Investment Fund,bmccsmif@gmail.com,F-609,Wednesday 2pm-4pm,N/A,Nanette White,,
Buddhism In Action Club,buddhisminaction@gmail.com,M-203,Wednesday 2pm-4pm,N/A,Gia Blackwell,,
Business and Entrepreneurship Club,business.eship@gmail.com,M-311,Wednesday 2pm-4pm,N/A,Roderick Shane Snipes,,
Center Stage Club,centerstagebmcc@gmail.com,M-206,Wednesday 2pm-4pm,N/A,Emani Simpson,,
Chess Club,bmccchess798@gmail.com,F-808,Tuesdays 5pm-7pm,N/A,Hung chu ,,
Chinese Cultural Association Club,bmcc.ccac@gmail.com,F-205,Wednesday 2pm-4pm,N/A,Ling Luo,,
Christian Student Association Club,bmccchristianclub@gmail.com,N-467,Wednesday 2pm-4pm,N/A,Dolcine-Sinclair,,
Cinema Arts Club,cinemaartsclub@gmail.com,F-809,Wednesday 2pm-4pm,N/A,Anastassios Rigopoulous,,
Coalition Club,coalitionbmcc@gmail.com,M-308,Wednesday 2pm-4pm,N/A,Esther Rosa,,
College Discovery Club,cdp@bmcc.cuny.edu,N-491,Wednesday 2pm-4pm,N/A,Kathryn King,,
Communication Studies Club,communicationclubbmccc@gmail.com,N-585,Thursdays 11am-2pm,N/A,Eliot Chayt,,
Computer Programming Club,computerprogrammingbmcc@gmail.com,F-607,Wednesday 2pm-4pm,N/A,Mohammad Azhar,,
Criminal Justice Club,thecriminaljusticeclub.bmcc@gmail.com,F-306,Wednesday 2pm-4pm,N/A,Shenique Davis,,
English Conversation Club,englishconversationclub.bmcc@gmail.com,N-455,Wednesday 2pm-4pm,N/A,Joshua Belknap ,,
Finance and Banking,finabanclub@gmail.com,F-1004,Wednesday 2pm-4pm,N/A,Ioannis Tournas,,
Forensics Science Club,ForensicsScienceClub@outlook.com,N-488,Wednesday 2pm-4pm,N/A,Dr. Catarina Mata,,
Health and Wellness Club,bmccwellness@gmail.com,M-212,Wednesday 2pm-4pm,N/A,Anika Thrower,,
Honors Society for Black Scholars,TBD,                  M-214,Wednesday 2pm-4pm,N/A,Deroy Gordon,,
International Health Policy & Diplomacy Club,bmcchealthdiplomacy@gmail.com,                   M-314,Wednesday 2pm-4pm,N/A,Daniel Katz,,
Journalism Club,bmccjournalismclub@gmail.com,M-205,Wednesday 2pm-4pm,N/A,Maria Teresa Alvarez ,,
Latinos in Stem Club,latinos.in.stem.bmcc@gmail.com,F-202,Wednesday 2pm-4pm,N/A,Jorge A Florez,,
Life Drawing Club,lifedrawing@bmcc.cuny.edu,F-1103,Wednesday 2pm-4pm,N/A,Patricia Genova,,
Make a IMPACT Club,impactclubbmcc25@gmail.com,M-311,Wednesday 2pm-4pm,N/A,Denise Dellaporta ,,
Makerspace Club,makerspaceclubbmcc@gmail.com,M-308,Wednesday 2pm-4pm,N/A,Anna Pinkas,,
Marketing Club,mcbmcc2026@gmail.com,F-613,Wednesday 2pm-4pm,N/A,Charles N. Jamison,,
Martial Arts Club,bmccboxingmuaythai@gmail.com,F-206,Wednesday 2pm-4pm,N/A,Julio Vaca,,
Math Club,bmccmathclub2026@gmail.com,N-795,Wednesday 2pm-4pm,N/A,Yazhu Liu,,
Mexican American Students Association,bmccmasa@gmail.com,M-212,Wednesday 2pm-4pm,N/A,Rigoberto Andino,,
Music Club,musicclubemail21@gmail.com,F-302,Wednesday 2pm-4pm,N/A,Marc Louis,,
Muslim Students Association Club,msabmcc2025@gmail.com,N-780,Wednesday 2pm-4pm,N/A,Mohamed Sofaini,,
National Association For Black Accountant’s Club,nababmccchapter@gmail.com,N-490,Wednesday 2pm-4pm,N/A,Sidney Askew,,
National Society of Leadership & Success Club (NSLS),nsls@bmcc.cuny.edu,N-S612,Friday 2pm-4pm,N/A,Denise DellaPorta,,
Natural Sciences Club,Bmccnaturalsciencesclub@gmail.com,M-208,Wednesday 2pm-4pm,N/A,Oksana Sivkovich Fagin,,
Painting Club,paintingbmcc@gmail.com,F1105,Wednesday 2pm-4pm,N/A,Xiaorui Huang,,
Photo Club,Photographyclubbmccc@gmail.com,F-1007,Wednesday 2pm-4pm,N/A,Elizabeth C. Towery,,
Physics Club,physicsclub.bmcc@gmail.com,M-210,Wednesday 2pm-4pm,N/A,Shalva Tsiklauri,,
Political Science Club,polisci.bmcc@gmail.com,F-805,Wednesday 2pm-4pm,N/A,Melissa T. Brown,,
Pre-Law Society Club,prelaw.bmcc@gmail.com,F-304,Wednesday 2pm-4pm,N/A,Richard Naughton,,
Pre-Med Club,premedclub.bmcc@gmail.com,S-736,Wednesday 2pm-4pm,N/A,Allana D. Burke,,
Pride Panthers Club,thepridepanthersbmcc@gmail.com,N-469,Wednesday 2pm-4pm,N/A,Nelson Izquierdo ,,
Psychology Club,psychology.club01@outlook.com,M-202,Wednesday 2pm-4pm,N/A,Oksana Sivkovich Fagin,,
Realty Check - Real Estate Club,realty.check.club@gmail.com,F-210,Wednesday 2pm-4pm,N/A,Professor Nelson Louis,,
Research & Nature Club,research.nature.club@gmail.com,S-643,Wednesday 2pm-4pm,N/A,Abel Navarro,,
Respiratory Therapy Club,bmccrespiratorytherapy@gmail.com,F-208,Wednesday 2pm-4pm,N/A,Deborah Lane ,,
Robotics Club,roboticsclub462@gmail.com,N-789,Wednesday 2pm-4pm,N/A,Edgard Delgado,,
Sip & Play,sipandplay@gmail.com,F-608,Wednesday 2pm-4pm,N/A,Dr Henry Bulley,,
South Asian Student Association Club, Sasabmcc2026@gmail.com.,F-302,Wednesday 2pm-4pm,N/A,Darshani Jayaweera,,
Story Telling Club,bmccstorytellingclub@gmail.com,TBD,Wednesday 2pm-4pm,N/A,Brian Charles Lorio,,
Student Nurses Association Club,Bmccsna2025@gmail.com,N-487,Wednesday 2pm-4pm,N/A,Melissa Butler,,
Student Politans Club,studentpolitan@gmail.com,F-1003,Wednesday 2pm-4pm,N/A,Julio Vaca,,
Table Tennis Club,tabletennisclub.bmcc@gmail.com,F-203,Wednesday 2pm-4pm,N/A,Ke Xin,,
The Putnam Club,putnamclubbmcc@gmail.com,F-803,Wednesday 2pm-4pm,N/A,Karl Levy,,
Transgender & Gender Non Conforming Club (TGNC),bmccTGNCclub@gmail.com,N-470,Wednesday 2pm-4pm,N/A,C. Ray Borck,,
Urban Mentors & Leaders Association Club,umlaclub@gmail.com,S-430,Wednesday 2pm-4pm,N/A,Ashtian C. Holmes,,
Women In Islam,bmccwomeninislam@gmail.com,M-319,Wednesday 2pm-4pm,N/A,Jahowa Islam ,,
Writer's Guild,Writersguild@gmail.com,F-207,Wednesday 2pm-4pm,N/A,Kathryn Bockino,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
